qst_deliver_message|{s13}에게 전령 보내기
qst_deliver_message_text|{s9}(이)가 {s13}에게 편지를 전달해 달라고 요청했습니다. 당신이 이 임무를 받았을 때 {s13}(은)는 {s4}에 머물고 있었습니다.
qst_deliver_message_to_enemy_lord|{s13}에게 서신 전달
qst_deliver_message_to_enemy_lord_text|{s9}(이)가 {s15} 세력의 {s13}에게 편지를 전달해 달라고 요청했습니다. {s13}(은)는 당신이 이 임무를 받았을 때 {s4}에 있었습니다.
qst_raise_troops|{s14} {reg1}명 양성
qst_raise_troops_text|{s9}(이)가 당신에게 {s14} {reg1}명을 훈련시켜 자신에게 데려와 달라고 요청했습니다.
qst_escort_lady|귀부인 {s13}을 {s14}(으)로 호위
qst_deal_with_bandits_at_lords_village|약탈자로부터 {s15} 마을 구출
qst_deal_with_bandits_at_lords_village_text|{s13}(이)가 자신의 마을인 {s15}에 숨어든 도적들을 처단하고 보고해 달라고 요청했습니다.
qst_collect_taxes|{s3}에서 세금 징수
qst_collect_taxes_text|{s9}(이)가 {s3}에서 세금을 징수해 달라고 요청했습니다. 그는 징수액의 1/5을 보상으로 주기로 약속했습니다.
qst_hunt_down_fugitive|도주자 {s4} 추적
qst_hunt_down_fugitive_text|{s9}(이)가 도주 중인 {s4}(을)를 추적해 달라고 요청했습니다. 현재 {s3}에 숨어 있는 것으로 추정됩니다.
qst_kill_local_merchant|{s3}의 지역 상인 암살
qst_kill_local_merchant_text|{s9}(이)가 {s3}에 있는 지역 상인을 암살해 달라고 요청했습니다.
qst_bring_back_runaway_serfs|도망친 농노 송환
qst_bring_back_runaway_serfs_text|{s9}(이)가 도망친 세 무리의 농노들을 {s2}(으)로 다시 데려오라고 요청했습니다. 그들은 {s3} 방향으로 도주한 것으로 보입니다.
qst_follow_spy|접선 장소까지 밀정 미행
qst_follow_spy_text|{s11}(이)가 {s12}에서 출발할 밀정을 미행하라고 요청했습니다. 들키지 않도록 주의해야 하며, 공범과 접선하는 순간 습격하여 두 명 모두 생포해 {s11}에게 데려가야 합니다.
qst_capture_enemy_hero|{s13} 세력의 영주 생포
qst_lend_companion|동료 {s3}을 {s9}에게 파견
qst_lend_companion_text|{s9}(이)가 당신의 동료인 {s3}(을)를 일주일 동안 빌려달라고 요청했습니다.
qst_collect_debt|{s3}에게서 {s9}의 채무 회수
qst_collect_debt_text|{s9}(이)가 {s3}에게 빌려준 {reg4} 페닝을 대신 받아달라고 요청했습니다.
qst_incriminate_loyal_commander|{s13}의 충신 {s16}에게 누명 씌우기
qst_meet_spy_in_enemy_town|{s13} 안에서 밀정 접선
qst_capture_prisoners|{s3} 포로 {reg1}명 생포
qst_capture_prisoners_text|{s9}(이)가 {s3} 포로 {reg1}명을 잡아다 달라고 요청했습니다.
